-4,6579; 0,9753
5,3374; 1,2799
15,3328; 1,5844
25,3282; 1,8889
35,3235; 2,1935
45,3189; 2,498
55,3142; 2,8025
65,3096; 3,107
75,305; 3,4116
85,3003; 3,7161
95,2957; 4,0206
-4,9625; 10,9707
5,0329; 11,2752
15,0283; 11,5797
25,0236; 11,8843
35,019; 12,1888
45,0144; 12,4933
55,0097; 12,7979
65,0051; 13,1024
75,0004; 13,4069
84,9958; 13,7115
94,9912; 14,016
-5,267; 20,966
4,7284; 21,2706
14,7237; 21,5751
24,7191; 21,8796
34,7145; 22,1842
44,7098; 22,4887
54,7052; 22,7932
64,7005; 23,0978
74,6959; 23,4023
84,6913; 23,7068
94,6866; 24,0114
-5,5715; 30,9614
4,4238; 31,2659
14,4192; 31,5705
24,4146; 31,875
34,4099; 32,1795
44,4053; 32,4841
54,4006; 32,7886
64,396; 33,0931
74,3914; 33,3977
84,3867; 33,7022
94,3821; 34,0067
-5,8761; 40,9568
4,1193; 41,2613
14,1147; 41,5658
24,11; 41,8704
34,1054; 42,1749
44,1008; 42,4794
54,0961; 42,784
64,0915; 43,0885
74,0868; 43,393
84,0822; 43,6976
94,0776; 44,0021
-6,1806; 50,9521
3,8148; 51,2567
13,8101; 51,5612
23,8055; 51,8657
33,8009; 52,1703
43,7962; 52,4748
53,7916; 52,7793
63,7869; 53,0839
73,7823; 53,3884
83,7777; 53,6929
93,773; 53,9975
-6,4851; 60,9475
3,5102; 61,252
13,5056; 61,5566
23,501; 61,8611
33,4963; 62,1656
43,4917; 62,4702
53,4871; 62,7747
63,4824; 63,0792
73,4778; 63,3838
83,4731; 63,6883
93,4685; 63,9928
-6,7897; 70,9429
3,2057; 71,2474
13,2011; 71,5519
23,1964; 71,8565
33,1918; 72,161
43,1872; 72,4655
53,1825; 72,77
63,1779; 73,0746
73,1732; 73,3791
83,1686; 73,6836
93,164; 73,9882
-7,0942; 80,9382
2,9012; 81,2428
12,8965; 81,5473
22,8919; 81,8518
32,8873; 82,1563
42,8826; 82,4609
52,878; 82,7654
62,8734; 83,0699
72,8687; 83,3745
82,8641; 83,679
92,8594; 83,9835
-7,3987; 90,9336
2,5966; 91,2381
12,592; 91,5426
22,5874; 91,8472
32,5827; 92,1517
42,5781; 92,4562
52,5735; 92,7608
62,5688; 93,0653
72,5642; 93,3698
82,5595; 93,6744
92,5549; 93,9789
-7,7032; 100,9289
2,2921; 101,2335
12,2875; 101,538
22,2828; 101,8425
32,2782; 102,1471
42,2736; 102,4516
52,2689; 102,7561
62,2643; 103,0607
72,2596; 103,3652
82,255; 103,6697
92,2504; 103,9743
